A1AFY9.1	A1AFY9.1	100.000	168	0	0	1	168	1	168	3.14e-123	346
A1AFY9.1	A7ZRV0.1	99.405	168	1	0	1	168	1	168	1.43e-122	345
A1AFY9.1	A8A4M5.1	99.405	168	1	0	1	168	1	168	1.68e-122	344
A1AFY9.1	B1LF61.1	100.000	167	0	0	1	167	1	167	2.29e-122	344
A1AFY9.1	Q32BP9.1	98.214	168	3	0	1	168	1	168	8.63e-122	342
A1AFY9.1	B5YRA8.1	98.214	168	3	0	1	168	1	168	1.14e-121	342
A1AFY9.1	B7LQE3.1	93.413	167	11	0	1	167	1	167	8.48e-114	322
A1AFY9.1	A8APW0.1	83.832	167	27	0	1	167	1	167	1.18e-102	294
A1AFY9.1	A9MPV1.1	80.838	167	32	0	1	167	1	167	1.68e-101	291
A1AFY9.1	B5REH0.1	80.240	167	33	0	1	167	1	167	4.76e-101	290
A1AFY9.1	B5FHU7.1	80.240	167	33	0	1	167	1	167	1.18e-100	289
A1AFY9.1	A9N5Z1.1	79.641	167	34	0	1	167	1	167	1.92e-100	288
A1AFY9.1	Q57JP7.1	80.240	167	33	0	1	167	1	167	2.49e-100	288
A1AFY9.1	A4WEK3.1	79.762	168	34	0	1	168	1	168	6.99e-100	287
A1AFY9.1	A7MJU3.1	77.976	168	37	0	1	168	1	168	9.31e-98	282
A1AFY9.1	A6TE50.1	73.810	168	44	0	1	168	1	168	3.01e-93	270
A1AFY9.1	B5XU18.1	73.810	168	44	0	1	168	1	168	5.51e-93	270
A1AFY9.1	C6DKG5.1	61.350	163	63	0	1	163	1	163	9.47e-74	221
A1AFY9.1	Q6D9D7.1	61.350	163	63	0	1	163	1	163	7.32e-72	216
A1AFY9.1	A8GJV5.1	63.125	160	59	0	4	163	2	161	1.59e-71	215
A1AFY9.1	P43343.1	63.750	160	58	0	4	163	2	161	4.17e-71	214
A1AFY9.1	Q13569.2	32.895	152	95	2	4	148	126	277	1.62e-18	84.3
A1AFY9.1	P56581.2	32.895	152	95	2	4	148	137	288	2.34e-18	84.0
A1AFY9.1	O59825.1	31.356	118	78	2	2	116	142	259	2.59e-13	69.3
A1AFY9.1	A1AFY9.1	100.000	168	0	0	1	168	1	168	3.45e-104	298
A1AFY9.1	A8A4M5.1	99.405	168	1	0	1	168	1	168	5.91e-104	298
A1AFY9.1	A7ZRV0.1	99.405	168	1	0	1	168	1	168	9.47e-104	297
A1AFY9.1	A4WEK3.1	79.762	168	34	0	1	168	1	168	1.47e-103	296
A1AFY9.1	B1LF61.1	100.000	167	0	0	1	167	1	167	1.53e-103	296
A1AFY9.1	Q32BP9.1	98.214	168	3	0	1	168	1	168	3.20e-103	296
A1AFY9.1	B5YRA8.1	98.214	168	3	0	1	168	1	168	5.24e-103	295
A1AFY9.1	A7MJU3.1	77.976	168	37	0	1	168	1	168	5.48e-102	293
A1AFY9.1	B7LQE3.1	93.413	167	11	0	1	167	1	167	9.07e-102	292
A1AFY9.1	A9MPV1.1	80.838	167	32	0	1	167	1	167	1.47e-99	286
A1AFY9.1	A6TE50.1	73.810	168	44	0	1	168	1	168	1.50e-99	286
A1AFY9.1	B5XU18.1	73.810	168	44	0	1	168	1	168	2.33e-99	286
A1AFY9.1	A8APW0.1	83.832	167	27	0	1	167	1	167	3.10e-99	286
A1AFY9.1	B5REH0.1	80.240	167	33	0	1	167	1	167	6.54e-99	285
A1AFY9.1	A9N5Z1.1	79.641	167	34	0	1	167	1	167	7.06e-99	284
A1AFY9.1	B5FHU7.1	80.240	167	33	0	1	167	1	167	9.09e-99	284
A1AFY9.1	Q57JP7.1	80.240	167	33	0	1	167	1	167	3.04e-98	283
A1AFY9.1	C6DKG5.1	61.350	163	63	0	1	163	1	163	2.78e-92	268
A1AFY9.1	Q6D9D7.1	61.350	163	63	0	1	163	1	163	1.38e-90	264
A1AFY9.1	A8GJV5.1	63.125	160	59	0	4	163	2	161	5.17e-90	262
A1AFY9.1	P43343.1	63.750	160	58	0	4	163	2	161	1.43e-89	261
A1AFY9.1	Q13569.2	32.468	154	97	2	2	148	124	277	2.26e-63	202
A1AFY9.1	P56581.2	32.468	154	97	2	2	148	135	288	3.89e-63	202
A1AFY9.1	O59825.1	26.554	177	120	3	2	168	142	318	3.58e-52	171
A1AFY9.1	Q8TTH3.1	19.868	151	99	6	3	146	7	142	8.43e-05	43.8
A1AFY9.1	A4WEK3.1	79.762	168	34	0	1	168	1	168	9.90e-97	279
